historical_campaign_id,campaign_name,industry,campaign_type,audience_type,channels,budget,audience_size,treated_count,control_count,treated_conversion_rate,control_conversion_rate,incremental_lift_points,relative_uplift_percent,revenue_per_conversion,campaign_revenue,negative_response_rate,unsubscribe_rate,complaint_rate,notes
HIST_0001,NorthBridge Bank Fall - Launch,Banking,Product Launch,Broad,"Programmatic, Paid Search, Direct Mail",66000,811417,632728,178689,5121.8,2812.24,2309.56,82.1,650,3329170.0,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0002,MediBridge 2026 - Retention Sprint,Healthcare,Retention,Broad,online,645000,722036,564692,157344,80.06,73.31,6.75,9.2,540,51638700.0,1.4,0.9,0.27,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0003,GlideFi v6 - Seasonal Promo,Fintech,Seasonal Promotion,Specific,social and email,114500,322489,248799,73690,3.48,1.1,2.38,216.4,420,2691404.86,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0004,BlueCrest Bank - Upsell Wave,Banking,Upsell,Specific,"Direct Mail, Paid Search, Email",200000,158556,129176,29380,6.99,5.74,1.25,21.8,650,1106533.08,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0005,BlueCrest Bank Q4 2026 - Renewal Drive,Banking,Renewal,Specific,"Direct Mail, Display, Paid Search, Programmatic, Email",320000,136533,108704,27829,80.84,75.1,5.74,7.6,650,59259276.96,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0006,Saltwater Co. APAC - Upsell Wave,B2C Retail,Upsell,Broad,"Email, SMS",225000,1020817,782700,238117,7.38,6.56,0.82,12.5,110,5166936.52,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0007,ShopHaven - Retention Sprint,E-commerce,Retention,Specific,"Display, Paid Social (Meta), Affiliate, Push Notifications",495000,660013,527636,132377,1.32,1.22,0.1,8.2,95,555356.47,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0008,NorthBridge Bank Open Enrollment - Win-Back,Banking,Customer Reactivation,Broad,social and email,586500,758681,579906,178775,8.81,7.88,0.93,11.8,650,5167065.0,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0009,InsureCon Q2 2026 - Event Reg Push,Events,Event Registration,Broad,social,6500,288824,235216,53608,15.28,14.0,1.28,9.1,520,7945.6,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0010,Truecover Cyber Monday - Loyalty Boost,Insurance,Loyalty,Specific,"Paid Search, Email, Display, Direct Mail",390000,415027,331140,83887,36.79,32.02,4.77,14.9,780,94294852.31,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0011,SafeHarbor Insurance Q1 2026 - Cross-sell Drive,Insurance,Cross-sell,Specific,"Paid Search, Direct Mail, Email, Radio, Display",565000,421484,323198,98286,3.34,0.73,2.61,357.5,780,8885399.33,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0012,Vaulted Q4 2026 - Win-Back,Fintech,Customer Reactivation,Specific,"Paid Search, Paid Social (Meta), Influencer",225000,243641,192734,50907,7.23,1.19,6.04,507.6,420,4956915.47,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
