"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"NorthBridge Bank Fall - Launch","Build awareness and momentum","lapsed buyers","Meet Pinecrest Trust: everything you loved, reimagined.","Programmatic, Paid Search, Direct Mail","$66,000 excl. production","summer push","New sign-ups: target 7,193 over the campaign flight; CPA <= $200.","All offers must include APR/APY disclosures and FDIC member language. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Hero creative must feature flagship product, not bundled SKUs. Video assets capped at 15s for social, 30s for CTV."
"MediBridge 2026 - Retention Sprint","Drive more revenue from this audience","small business owners","Here's what's new, just for you.","online","$645,000","Sep 17, 2026 - 2 week flight","ROAS target 3.8","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. DACH market: double opt-in for email; no purchased lists. Adhere to brand voice guidelines v3.2; primary palette only."
"Stratus ERP Q3 2027 - Awareness","Reach 6,803,485 unique impressions in target segment","CFOs at SMBs with $10M-$100M revenue in APAC (EU coverage)","Forge Platform: built for what's next.","online","$210,000","this year","Aided awareness lift: baseline 42%, target +11 pts, within 90 days post-launch.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. CEO and executive quotes require Comms approval."
"GlideFi v6 - Seasonal Promo","Build awareness and momentum","Active app users with 30+ day inactivity, Mexico","Our biggest Fall event yet.","social and email","Per-channel budget missing","ASAP","Baseline 1.2%, improve over time","No major restrictions noted."
"BlueCrest Bank - Upsell Wave","Upsell 16,024 customers to a higher tier","Mass-affluent customers aged 45-70 with $50K-$250K deposits, Germany","Unlock advanced capabilities built for power users.","Direct Mail, Paid Search, Email","$200,000","Sep 13, 2026 - 4 week flight","Improve CTR vs. last campaign","Reg Z and UDAAP review required prior to launch. Use approved product photography only; lifestyle imagery requires brand review. Landing page must load under 2.5s on 4G."
"GrowthSummit v8 - Seasonal Promo","Lift conversion rate by 76% vs. prior season baseline","Speakers, sponsors, and partner network contacts, Nordics (EU coverage)","Limited time: save big this Fall.","Webinar, PR, Organic Social, Paid Social (LinkedIn)","$6,500 (media only)","Jan 20, 2026 - 3 week flight","Incremental revenue: target $1,963,979, ROAS >= 3.3, within 90 days post-launch.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. No animated GIFs in email; static hero only."
"BlueCrest Bank Q4 2026 - Renewal Drive","Achieve 89% gross renewal rate","Small business banking customers with <$5M annual revenue, Benelux","Renew today and lock in your current rate.","Direct Mail, Display, Paid Search, Programmatic, Email","$320,000 total","Nov 1, 2026 - 3 week flight","Gross renewal rate: baseline 81.8%, target 89.4%, over the campaign flight.","All offers must include APR/APY disclosures and FDIC member language."
"Saltwater Co. APAC - Upsell Wave","Upsell 7,767 customers to a higher tier","Gen Z shoppers aged 18-26 in US metros","Ready for the next tier? Here's what's waiting.","Email, SMS","$225,000","Apr 23, 2026 - 8 week flight","ARPU lift: baseline $181, target +4.5%, over 30 days.","Margin floor 35%; exclude clearance SKUs from promotion. Hero creative must feature flagship product, not bundled SKUs. Mobile-first creative required; desktop is secondary."
"FutureStack Conference 2026 - Lead Gen","Deliver 1,933 SQLs to the sales team","Practitioners and decision-makers in target verticals, EMEA","Get the playbook trusted by 500+ teams.","Paid Social (LinkedIn), PR","$135,000 total","Oct 19, 2026 - 12 week flight","MQLs: target 6,374, CPL <= $184, measured by end of quarter.","Localization required for non-English markets; transcreation, not direct translation. Video assets capped at 15s for social, 30s for CTV."
"ShopHaven - Retention Sprint","Reduce monthly churn from 4.7% to 3.8%","Cart abandoners in last 30 days, US (EU coverage)","Stay with us and get more of what you love.","Display, Paid Social (Meta), Affiliate, Push Notifications","$495,000 total","Oct 16, 2026 - 8 week flight","Monthly churn: baseline 1.3%, target 0.8%, over 30 days.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. CEO and executive quotes require Comms approval."
"NorthBridge Bank Open Enrollment - Win-Back","Reactivate 41% of customers dormant for 6+ months","premium segment","A lot has changed. Come back and see what's new.","social and email","Limited budget","rolling","ROAS target 2.3","All offers must include APR/APY disclosures and FDIC member language. CEO and executive quotes require Comms approval."
"FutureStack Conference - Renewal Drive","Build awareness and momentum","Speakers, sponsors, and partner network contacts, EMEA","Stay covered. Stay supported.","PR, Email","Per-channel budget missing","Apr 24, 2027 - 2 week flight","Gross renewal rate: baseline 82.3%, target 89.3%, over 60 days.","Adhere to brand voice guidelines v3.2; primary palette only."
