campaign_id,campaign_name,audience_size,persuadables_pct,sure_things_pct,lost_causes_pct,do_not_disturb_pct,unknown_pct,persuadables_count,sure_things_count,lost_causes_count,do_not_disturb_count,unknown_count,segment_estimation_method,segment_confidence,segment_rationale
CMP_0001,NorthBridge Bank Fall - Launch,811417,23,21,21,13,22,186626,170398,170397,105484,178512,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Low,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Vague audiences expand the unknown segment. Specific channels improve match quality and reduce unknown exposure.
CMP_0002,MediBridge 2026 - Retention Sprint,722036,26,20,17,12,25,187730,144407,122746,86644,180509,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Low,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0003,Stratus ERP Q3 2027 - Awareness,42801,28,21,20,13,18,11985,8988,8560,5564,7704,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0004,GlideFi v6 - Seasonal Promo,322489,25,20,20,13,22,80623,64498,64497,41923,70948,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0005,BlueCrest Bank - Upsell Wave,158556,32,21,21,14,12,50738,33297,33297,22198,19026,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0006,GrowthSummit v8 - Seasonal Promo,211749,32,21,21,14,12,67760,44468,44468,29644,25409,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0007,BlueCrest Bank Q4 2026 - Renewal Drive,136533,32,21,21,14,12,43691,28672,28672,19115,16383,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0008,Saltwater Co. APAC - Upsell Wave,1020817,34,22,21,8,15,347078,224580,214372,81665,153122,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0009,FutureStack Conference 2026 - Lead Gen,142815,38,22,22,9,9,54270,31420,31419,12853,12853,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0010,ShopHaven - Retention Sprint,660013,41,21,19,8,11,270606,138603,125402,52801,72601,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0011,NorthBridge Bank Open Enrollment - Win-Back,758681,23,19,17,12,29,174497,144150,128975,91041,220018,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Low,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0012,FutureStack Conference - Renewal Drive,267525,36,22,22,8,12,96310,58855,58855,21402,32103,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0013,InsureCon Q2 2026 - Event Reg Push,288824,31,21,21,8,19,89536,60654,60653,23105,54876,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0014,Truecover Cyber Monday - Loyalty Boost,415027,32,21,21,14,12,132809,87156,87156,58103,49803,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0015,Cartly EU - Lead Gen,977812,34,22,21,8,15,332457,215119,205341,78224,146671,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0016,SafeHarbor Insurance Q1 2026 - Cross-sell Drive,421484,32,21,21,14,12,134875,88512,88512,59007,50578,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
